rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
34,875,0.8483786849213526,2.2007671412485137,2.704776912654322,0.23331609720953955,2.1388883337714097,-0.06187880747710395,9,1,14,25.9544008036354,1,25,0.010866374795326096,58,59,0,23,9,1.5383431277743995
35,771,0.8309914497226611,1.8372285260610899,2.0124741526768575,0,1.5114423306355174,-0.3257861954255725,9,1,14,36.32182348467581,0,40,0.013573016430688542,44,42,0,27,12,2.1631609314440032
36,725,0.8226419217948826,2.259248957487666,2.8732140713855667,0,1.5035572473973646,-0.7556917100903013,9,1,14,34.69195752961196,0,35,0.010594865368408892,43,56,0,22,12,3.027395493825261
37,586,0.8064305706152831,1.5818295999400016,1.550798058649437,0.22965013648816235,1.1033441830518833,-0.4784854168881183,9,1,14,30.361552953400135,0,35,0.016216832386886443,59,53,0,25,8,1.5709830565972875
38,263,0.7956123161083324,2.0186032943500485,2.445981956483432,0.4037306804892597,1.3705677822630224,-0.648035512087026,9,1,14,33.38242390569272,0,27,0.01080457613736026,48,58,0,26,7,1.7640882184404532
39,840,0.7918725783986076,1.9053243162271956,2.226903475657176,0.028002141493153433,1.4783526552051596,-0.426971661022036,9,1,14,33.03656076012612,1,40,0.014468991094414466,42,60,0,23,8,2.007818508793261
40,436,0.7756651698661087,1.4858623187037088,1.4203942976752002,0,1.8787469377317214,0.39288461902801264,9,1,14,35.68830609645195,1,21,0.012527051955271025,43,59,0,20,10,2.936705429856855
41,773,0.7735977588608198,1.445268713283971,1.3433419088463023,0,1.6813317972130575,0.23606308392908648,9,1,14,34.196227010826796,1,29,0.014902489323435209,52,69,0,27,12,3.5344200886301276
42,167,0.7689554811598549,1.859787927820061,2.1816648933204124,0,1.659947481273788,-0.1998404465462731,9,1,14,33.372762061045904,0,39,0.013452962942895509,56,55,0,27,9,2.423667311686059
43,421,0.7670693459536763,1.76682505766153,1.9995114234157076,0.2845372072878965,1.741323469330156,-0.02550158833137406,9,1,14,35.68468110733963,0,39,0.011587917227642491,54,56,0,26,7,1.5032540675622084
44,571,0.7213036861290452,1.3825191524938791,1.322430932729668,0,1.6606821526970896,0.2781630002032105,9,1,14,34.9572285327672,1,40,0.016845242784747923,47,67,0,20,12,3.3197069460091546
45,287,0.7044760130880103,2.00442058136239,2.599889136548759,0,1.47121811814957,-0.5332024632128198,9,1,14,33.691610015928006,1,29,0.01494801437646098,55,63,0,29,9,3.228403584820081
46,944,0.6942908860707931,1.433993061075971,1.4794043500103558,0,1.6818247286516097,0.24783166757563868,9,1,14,31.43048186350681,1,31,0.010953355309157576,42,52,0,21,7,3.802788628982922
47,604,0.6916576459982853,1.76639641241229,2.1494775328280094,0,1.6540919658002535,-0.11230444661203642,9,1,14,36.107277468145575,1,22,0.013221706913012814,60,53,0,24,9,3.664230950425539
48,502,0.690571845658212,1.7834347381638276,2.1857257850112313,0,1.6279225390283178,-0.15551219913550973,9,1,14,36.93603577047943,1,22,0.01323507604313007,60,54,0,30,12,3.715036516789836
49,714,0.6900842657400952,2.089667935931189,2.7991673403821875,0,1.5432049205717064,-0.5464630153594825,9,1,14,34.484429010745934,1,34,0.012774539842371478,44,58,0,26,12,3.0752157589697813
50,359,0.6854838085473685,1.7451499734666538,2.1193323298385707,0.042830594382608736,1.4901955651494634,-0.2549544083171904,9,1,14,37.41505998421908,0,37,0.012376260542832168,54,61,0,25,7,2.597093135147537
51,569,0.6336490384807673,1.6253672907760075,1.9834365045904805,0,1.3236009875406816,-0.30176630323532594,9,1,14,32.77528198750403,0,21,0.013127098106858233,60,53,0,24,12,2.8798955595029336
52,567,0.6261975003504727,1.7422243562966988,2.232053711892452,0.01647307440360031,1.4210369026764058,-0.321187453620293,9,1,14,32.934891951317475,1,25,0.02218957873682633,46,68,0,29,11,1.664881299040509
53,153,0.5873783809855506,1.3377774561488947,1.500798150326688,0,1.5996574945332223,0.2618800383843276,9,1,14,33.706667045175124,1,33,0.011709214644450698,47,66,0,26,11,2.79529322485022
54,51,-0.020624584938399693,24.647756283411553,49.336761736699906,0.025247345136724518,1.6248168879765446,-23.02293939543501,9,1,14,29.22569532354518,0,29,0.012864044428216106,43,68,0,26,7,1.9175698723474908
55,88,-0.1495502946662981,3.7614727192320276,7.8220460277966515,0.013897392753696846,1.1890514227506814,-2.5724212964813464,9,1,14,31.488936194706973,1,29,0.016584234561468732,58,70,0,21,8,3.079739426271248
56,905,-0.21402169783800584,7.002573127995675,14.433189651667362,0,1.5489012935772968,-5.453671834418379,9,1,14,31.76718373076732,1,29,0.010517389869990202,51,55,0,24,7,2.912321729758375
57,418,-0.23023684462301475,60.55394076860887,121.56835522646377,0,2.8842232101963634,-57.66971755841251,9,1,14,38.99054065299681,0,40,0.015857476207853972,47,64,0,26,10,1.7988943321412851
58,36,-0.370155798571858,5.841192597705557,12.42269679255483,0,1.4382500662182585,-4.402942531487299,9,1,14,28.919337346397217,1,25,0.01061352821894114,51,54,0,21,12,2.829076469015366
59,978,-0.47423339509201057,5.829858791373221,12.608184372930463,0,1.668044369285076,-4.1618144220881454,9,1,14,28.83973920777548,0,35,0.01411631258448689,43,52,0,29,13,2.4362750197866623
60,261,-0.5140576010749669,162.5789451983014,326.18600559875273,0,1.3936675043874251,-161.18527769391397,9,1,14,40.95385788273797,1,35,0.013911454189386122,59,40,0,25,13,2.100841445104023
61,266,-0.534121873561574,65.6690529713839,132.40634968989096,0,1.7332386047601105,-63.935814366623795,9,1,14,39.8052827811199,0,33,0.023058298797249924,41,67,0,30,10,1.9144400014218037
62,636,-0.7093605626320434,5.802619326344929,13.023959777953944,0,1.718438485926137,-4.084180840418792,9,1,14,30.788945891277436,1,34,0.014488568723377473,41,61,0,30,13,3.5623648807529924
63,339,-0.7882151587099315,7.91298400736488,17.402398332149623,0,2.6204635702317334,-5.292520437133147,9,1,14,35.23534230078157,0,26,0.011506772352642636,58,49,0,27,7,3.229022852128046
64,845,-0.9971147588327165,5.890886690346765,13.776002898358962,0,1.6202392052974308,-4.270647485049334,9,1,14,31.2765507695688,1,23,0.010721814126419326,47,51,0,25,9,3.3999268692014972
