rank,source_db,trial_id,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_oos_sharpe,std_oos_sharpe,sample_skew,sample_kurtosis_raw,n_observations,pbo_pool_score,pbo_pool_robustness,dsr_score,dsr_z_star,dsr_e_max_h0,dsr_robustness
21,tpe,176,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
22,tpe,178,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
23,tpe,179,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
24,tpe,180,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
25,tpe,181,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
26,tpe,182,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
27,tpe,183,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
28,tpe,184,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
29,tpe,185,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
30,tpe,186,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
31,tpe,187,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
32,tpe,188,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
33,tpe,189,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
34,tpe,190,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
35,tpe,191,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
36,tpe,192,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
37,tpe,193,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
38,tpe,194,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
39,tpe,195,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
40,tpe,196,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
