rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
27,85,1.3316544603242548,1.9524060792667777,1.0804421606983623,0.47110092152231964,1.7518050026272405,-0.2006010766395372,6,1,14,29.048707057555085,0,39,0.014179221057525958,54,51,0,25,10,2.5921672322524283
28,172,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
29,173,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
30,174,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
31,175,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
32,176,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
33,178,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
34,179,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
35,180,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
36,181,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
37,182,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
38,183,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
39,184,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
40,185,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
41,186,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
42,187,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
43,188,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,54,51,0,24,11,2.6
44,189,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
45,190,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
46,191,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
47,192,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
48,193,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
49,194,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
50,195,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
51,196,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
52,197,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
53,198,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,55,51,0,24,11,2.6
54,199,1.3131313481943239,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.8969694340123928,-0.36087001409585473,6,1,14,25,0,39,0.01,54,51,0,24,11,2.6
55,171,1.3118707267918208,2.2529609244564512,1.6430098893289773,0.459579670013237,1.8920163098757368,-0.3609446145807145,6,1,14,25,0,39,0.010363486839657153,55,51,0,24,11,2.6
56,170,1.3112367207134459,2.2505821689101064,1.639522047157103,0.45943052322546635,1.889613277554033,-0.36096889135607335,6,1,14,25,0,39,0.01054665017224396,55,51,0,24,11,2.6
57,169,1.3107464494775136,2.2487748698657937,1.636891219386147,0.4593130459635693,1.8877929985559296,-0.36098187130986403,6,1,14,25,0,39,0.010688451757080192,55,51,0,24,11,2.6
58,166,1.3101527365033707,2.2466221393421173,1.633779251057961,0.4591683797207245,1.8856310881055836,-0.36099105123653374,6,1,14,25,0,39,0.010860362557585969,55,51,0,24,11,2.6
59,165,1.3097591010908178,2.2452157154208403,1.6317589438947797,0.4590710633424955,1.8842224140911155,-0.36099330132972485,6,1,14,25,0,39,0.010974455812187795,55,51,0,24,11,2.6
60,164,1.3093988597909707,2.2439426744662443,1.6299390058079037,0.45898105321565696,1.8829499253337918,-0.3609927491324525,6,1,14,25,0,39,0.011078950642127326,55,51,0,24,11,2.6
61,163,1.3093120090289676,2.243637724906792,1.629504290129421,0.45895921942508583,1.8931760351710272,-0.35046168973576486,6,1,14,25.094652837406965,0,39,0.0111041549021919,55,51,0,24,11,2.6
62,167,1.308913034373316,2.242246466023436,1.62752709993157,0.4588582670578828,1.8812583208815592,-0.3609881451418768,6,1,14,25,0,39,0.011219995814483344,55,51,0,24,11,2.6
63,168,1.308424663642171,2.240564454924881,1.6251500928158007,0.45873326746013576,1.879585292529448,-0.3609791623954328,6,1,14,25,0,39,0.01136192167793005,55,51,0,24,11,2.6
64,161,1.3075753637808245,2.2389558157487484,1.6231813546326184,0.4586255045469715,1.8780601977062112,-0.3608956180425371,6,1,14,25,0,39,0.011483020427381852,55,51,0,24,11,2.6
65,162,1.3069805961883025,2.2383724450986753,1.622690801368433,0.458597173140904,1.877561624871899,-0.36081082022677635,6,1,14,25,0,39,0.011514674021180995,55,51,0,24,11,2.6
66,159,1.3059093575497869,2.2373206808651713,1.621807014558443,0.458545625475996,1.876662960843083,-0.3606577200220884,6,1,14,25,0,39,0.0115720765329162,55,51,0,24,11,2.6
67,160,1.3054261127586049,2.236845774675979,1.6214082238075946,0.45852215140159636,1.876257276993126,-0.36058849768285306,6,1,14,25,0,39,0.01159813717492743,55,51,0,24,11,2.6
68,158,1.302357699686453,2.2338237241636496,1.6188744366951715,0.4583698483156582,1.8736770975224488,-0.3601466266412008,6,1,14,25,0,39,0.01176605891885626,55,51,0,24,11,2.6
69,157,1.2978855442486052,2.2293981757515913,1.6151760736881453,0.4581375123072218,1.8699030799217073,-0.3594950958298839,6,1,14,25,0,39,0.012018596883191209,55,51,0,24,11,2.6
70,15,1.2939668669177833,1.3526416554089635,0.5435863319451566,0.4301077336065381,1.2149111618387705,-0.13773049357019307,6,1,14,29.77448720284354,0,37,0.014501830127522802,49,56,0,28,9,2.3850434957690174
71,156,1.2932902176904535,2.2248236878090926,1.6113683996857802,0.45788540950278916,1.8655384064540093,-0.3592852813550833,6,1,14,25,0,39,0.012288155244593531,55,51,0,24,11,2.6
72,155,1.2925498842476888,2.2240840558067383,1.6107541944188035,0.45784348161577065,1.8647862461706406,-0.3592978096360977,6,1,14,25,0,39,0.012332571321685724,55,51,0,24,11,2.6
73,150,1.2921724527213254,2.0036576907451926,1.1944839218174232,0.457830439469331,1.7841907952508178,-0.21946689549437481,6,1,14,25.917850690745684,0,39,0.0123493917410376,55,51,0,24,11,2.6
74,151,1.2902000209269597,2.001806068283201,1.1931151308548766,0.45771652940780283,1.7821307232052803,-0.21967534507792075,6,1,14,25.98330200311737,0,39,0.012469388411418217,55,51,0,24,11,2.6
75,146,1.2895251417840095,1.9606398680952362,1.124992565715853,0.45734257293341113,1.756087302474147,-0.20455256562108914,6,1,14,26.421233007142984,0,39,0.01283150485884424,55,51,0,24,11,2.6
76,147,1.289245214946316,1.9638180387701514,1.1283938957175221,0.45766041909512845,1.7734246966120868,-0.19039334215806458,6,1,14,26.288638865347497,0,39,0.012528206182746056,55,51,0,24,11,2.6
77,69,1.287337854320022,1.7417858796281147,0.8040182623446608,0.48788887524039604,1.5278628816291617,-0.21392299799895298,6,1,14,28.899303543407378,0,37,0.014450607332722349,52,54,0,28,10,2.416916971722585
78,141,1.2868142163689162,1.9986191054284836,1.1907704150932652,0.4575146482815358,1.778589683334775,-0.22002942209370868,6,1,14,26.073212754304237,0,39,0.012680153412503276,56,51,0,24,11,2.6
79,29,1.2861657954924708,1.7311305610419871,1.0256347317875927,0.36208935872001324,1.436020071417853,-0.2951104896241341,6,1,14,28.589398796376557,0,37,0.014695151354126764,53,56,0,28,7,2.4061874507955396
80,148,1.2860027459489278,1.9978249374116632,1.1901449564988789,0.45746151145235403,1.7982157372409358,-0.19960920017072747,6,1,14,25.758010322167287,0,39,0.01273524451855036,55,51,0,24,11,2.6
81,144,1.2853421117838972,1.9972300044245233,1.189752876183432,0.45742430824816893,1.7770481550114308,-0.2201818494130925,6,1,14,26.116846441110184,0,39,0.012773724517035566,55,51,0,24,11,2.6
82,138,1.2847898265011126,1.9595969081359739,1.1253060442228098,0.4573900067423515,1.7674546074855015,-0.19214230065047233,6,1,14,26.248234755186303,0,39,0.012809137594931972,55,51,0,24,11,2.6
83,132,1.2837001296627388,1.955094222897469,1.1209816967457071,0.45696585474404694,1.7518456336171886,-0.20324858928028045,6,1,14,26.428826056523576,0,39,0.013216094879714122,55,51,0,24,11,2.6
84,139,1.2836944846368723,1.9956727374281407,1.1886153758810014,0.45732130936547183,1.7753214122209409,-0.2203513252071998,6,1,14,26.102692299264,0,39,0.01287987533637854,56,51,0,24,11,2.6
85,154,1.2836864617535537,2.215168797089762,1.6033822593148852,0.4573117295551803,1.8557516905973443,-0.35941710649241765,6,1,14,25,0,39,0.012886773044077407,55,51,0,24,11,2.6
86,135,1.2826012107215974,1.994637917412251,1.1878613827483986,0.45725184776645383,1.774174806378615,-0.22046311103363614,6,1,14,26.23171060003067,0,39,0.012951153633494104,55,51,0,24,11,2.6
87,127,1.28039654422007,1.9925474104529093,1.1863427995410538,0.4571090132506869,1.7718605347013956,-0.2206868757515137,6,1,14,26.183526347347843,0,39,0.013096973316688607,55,51,0,24,11,2.6
88,133,1.278256335229766,1.990513172620224,1.1848710209575792,0.45696675410181414,1.769611249133523,-0.22090192348670112,6,1,14,26.163862695463468,0,39,0.013241246080912011,55,51,0,24,11,2.6
89,76,1.226744160802593,2.059167097843712,1.5564671939801984,0.4792769053251572,1.6545222795623882,-0.40464481828132404,6,1,14,28.90863883961721,0,38,0.014375422268507286,53,52,0,27,10,2.378251461333005
90,11,1.2235755616861672,1.758288971793709,0.9530366568001287,0.40025273270363215,1.4759890336480173,-0.28229993814569165,6,1,14,29.7996469420505,0,36,0.014264337933376574,51,57,0,30,7,2.338171527288603
91,70,1.2216869259773695,2.0483614590905908,1.548150789993153,0.4765177210813755,1.6566273190937169,-0.3917341399968739,6,1,14,28.790966483148665,0,37,0.014278730929730378,52,52,0,27,10,2.363684246912961
92,10,1.21952949081364,1.6495677577442203,0.9478458410828339,0.3745116593115412,1.3873093348184458,-0.2622584229257745,6,1,14,30.05097033799527,0,37,0.014723548937056337,52,56,0,30,7,2.3802560404213704
93,78,1.2141237302293217,2.066484183414473,1.5554539094878517,0.4791594071004209,1.6468389424154075,-0.4196452409990654,6,1,14,29.07078438797436,0,38,0.014134100636694244,53,52,0,27,10,2.375966636530131
94,73,1.2094221987148015,2.044406648822528,1.5361564503831284,0.4721929664242637,1.7130113314088462,-0.3313953174136819,6,1,14,28.97843196687511,0,37,0.014198150112050048,52,52,0,27,10,2.341041960810742
95,72,1.2059838084490222,2.0368158115522688,1.5303321145945072,0.47020246521518533,1.7002372390214069,-0.3365785725308619,6,1,14,28.980368129684603,0,37,0.014124049051528573,52,52,0,27,10,2.330829061608388
96,45,1.198367910513955,17.083822925210747,35.09762642715043,0.40888686383589157,1.7592534650756377,-15.324569460135109,6,1,14,29.27201527883978,0,36,0.014268897102073776,50,52,0,28,10,2.309478835690791
97,55,1.1969242833004299,17.128564399121267,35.19295468510118,0.4103030719059077,1.7645490171481075,-15.364015381973159,6,1,14,29.118130739917213,0,36,0.01424609264630654,49,52,0,29,10,2.317082270892876
98,33,1.1633502040217012,1.5464186776185418,0.6751919604052908,0.4096318607819353,1.2947890614980955,-0.2516296161204463,6,1,14,29.01768403523522,0,37,0.014399189466046684,51,53,0,28,9,2.2738273235146327
99,51,1.1572893172196772,16.459076930657442,34.269656569978814,0.35807174891026755,1.4813281199022033,-14.977748810755239,6,1,14,29.217904487548477,0,36,0.01437354369583463,50,52,0,28,9,2.23508617889446
100,36,1.1493655524039306,16.603283318709874,34.563184303796916,0.40690788633137015,1.5212785697562043,-15.08200474895367,6,1,14,28.844457242647906,0,36,0.01433390669839836,50,52,0,28,9,2.258868601943347
101,82,1.1479138167504415,3.1024794024582447,2.968260922596926,0.5153621151007033,2.405262945347839,-0.6972164571104056,6,1,14,28.966731921326915,0,39,0.014137592742049373,54,50,0,26,11,2.5475444501338624
102,44,1.1417003173550657,1.5198763199439893,0.6530933279390871,0.4069885811461605,1.3182788801936551,-0.20159743975033417,6,1,14,29.144266053769947,0,36,0.014336162938655656,50,53,0,28,10,2.2980843983272092
103,34,1.1405355121049938,1.755725337383212,1.4891358310985752,0.354018002564961,1.4087056834623894,-0.34701965392082257,6,1,14,29.128284364726525,0,36,0.01437988626490942,49,52,0,27,9,2.2100698757203854
104,63,1.1319872912101843,1.533103013815337,0.6666815878660437,0.4280511319643514,1.3063823211814298,-0.22672069263390715,6,1,14,29.04846634537288,0,36,0.014291008345127578,51,54,0,29,8,2.3736550470010185
105,61,1.131681751344128,1.6072917734992636,0.999198733681619,0.36085109733180315,1.3665969777534492,-0.24069479574581432,6,1,14,29.048128132443995,0,37,0.014372469268717276,52,56,0,29,7,2.398258679443358
106,5,1.129768485854437,1.601164719636258,0.9956890911920799,0.3596378801610156,1.361304187719593,-0.2398605319166649,6,1,14,28.99780573294135,0,37,0.014521406966336222,53,56,0,29,7,2.3903820652368033
107,74,1.1276873717316307,2.0435569690361466,1.574268397439425,0.4843744405980835,1.6296245734692947,-0.4139323955668519,6,1,14,29.054079818691193,0,38,0.014262035923656428,52,52,0,27,10,2.4022991724278775
108,9,1.127296382707863,1.6051842639572298,1.0096825515515335,0.35866064468234177,1.3771045495983272,-0.22807971435890262,6,1,14,28.672121407701948,0,37,0.01458774199914586,53,56,0,28,7,2.383615304014671
109,16,1.1239103476396415,1.3378102570871004,0.5407873432505655,0.3632481048914064,1.2674855611069884,-0.07032469598011204,6,1,14,29.945817050357135,0,36,0.01440040826509692,48,55,0,27,9,2.4020021962992564
110,13,1.1182121599821366,1.606109571879452,0.7517359368465628,0.3600642656717264,1.3383408812379258,-0.2677686906415262,6,1,14,30.35404388378288,0,37,0.014993309630174282,51,55,0,30,9,2.4413755328953943
111,24,1.1176995674033372,1.6558226717325253,0.8469838128428804,0.3610494561383241,1.4426746099042234,-0.21314806182830193,6,1,14,37.06610771986417,0,36,0.014380394064453494,50,56,0,30,9,2.5437359802572694
112,23,1.1156914630901031,18.502624524551607,37.39591550273075,0.5414089090346627,2.3273167007456155,-16.17530782380599,6,1,14,29.13507293141631,0,37,0.014708100769263785,40,69,0,30,7,2.262195104644495
113,19,1.115295903671007,1.5472574887498733,0.6543279498256164,0.4204612691302265,1.315394698475281,-0.23186279027459245,6,1,14,30.21577435089355,0,36,0.014425273484047863,50,56,0,28,8,2.3988150972144826
114,14,1.1118292179864881,1.3307385017960167,0.5404260462559166,0.3619334983340026,1.2695109624532008,-0.061227539342815884,6,1,14,30.052893145876983,0,36,0.014764482476507655,51,55,0,30,9,2.396019166211691
115,67,1.0997450354968574,1.413710547592359,0.6453011200521039,0.4302893779960784,1.2380104937651775,-0.17570005382718157,6,1,14,29.24175293677414,0,36,0.01454593451125148,51,56,0,29,8,2.387562914859629
116,84,1.099602642591131,2.235647230481744,1.5380306487878204,0.4688448914999644,1.894791070044386,-0.3408561604373581,6,1,14,28.632233413920396,0,39,0.01386427154106274,55,48,0,25,10,2.6
117,64,1.0981121292172913,2.6073791990776347,2.189341909513895,0.33028278413947765,1.878477959388498,-0.7289012396891368,6,1,14,37.2401504005492,0,36,0.01431842779386457,49,52,0,28,8,2.3370040824486855
118,35,1.09257044082689,1.2828729994147086,0.5246896622026165,0.35242181643065357,1.1133902804072127,-0.1694827190074959,6,1,14,29.127234045746334,0,36,0.014429733204410553,49,53,0,28,9,2.199874774742881
