rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
20,115,1.1730425469885848,2.275795126631331,1.6925888533554716,0.26959461608572044,1.6062365926835362,-0.669558533947795,6,0,1,14,37.63852941436215,1,34,0.014542022860430824,45,54,0,26,7,1.863770197503963
21,646,1.162982211489111,1.4930898941458925,0.9958145953498525,0,1.2868251305665959,-0.20626476357929668,6,0,1,14,32.05101491944236,0,22,0.012276636817752436,48,47,0,24,13,2.1041342213871865
22,165,1.14898445491581,167.70756979958705,372.20920334494457,0,1.8842262204877045,-165.82334357909934,6,0,1,14,38.85656124373065,0,36,0.012081623735895455,45,68,0,30,12,3.520216418046821
23,421,1.141330097011666,2.9618178141028237,3.454938878098586,0.4228240741981839,2.176948843731661,-0.7848689703711629,6,0,1,14,35.68468110733963,0,39,0.011587917227642491,54,56,0,26,7,1.5032540675622084
24,301,1.1239610900521304,1.8338892017099593,1.7337670177208828,0.3193040876798992,1.1700090186149057,-0.6638801830950536,6,0,1,14,39.301691344993976,0,31,0.01339616844473744,54,44,0,29,11,1.9692479653290431
25,346,1.116912127100186,2.3951161161893486,1.965936017582278,0.43137234857273354,1.609419630685954,-0.7856964855033945,6,0,1,14,31.4609922571022,0,38,0.012298638241729424,44,70,0,23,9,2.232811637444457
26,167,1.1119404304925196,2.171194267734937,1.3710155863041422,0.26271437999797453,1.8045385155954694,-0.36665575213946777,6,0,1,14,33.372762061045904,0,39,0.013452962942895509,56,55,0,27,9,2.423667311686059
27,599,1.110255287379832,1.5194466962888553,0.8155387240272124,0.39805782140972157,1.2016882416628334,-0.3177584546260219,6,0,1,14,40.15775871015923,1,34,0.011681322645933308,56,46,0,23,9,2.8281686369340453
28,872,1.0965404548889515,1.61452871218522,1.1173337769412,0.2535292395576892,1.4386050971877082,-0.17592361499751186,6,0,1,14,32.15636050490665,0,34,0.01662756848368303,44,68,0,21,9,2.6760775897805567
29,570,1.087771193014132,1.5570065953563024,0.7260413700990599,0.2914026723793023,1.386439293691577,-0.17056730166472533,6,0,1,14,34.98549016904981,1,38,0.017540137651540492,55,69,0,21,10,2.0471870415614135
30,725,1.0846876489978086,2.0804244386896262,1.3689526077408414,0.29523660554739145,1.5913885589062575,-0.4890358797833687,6,0,1,14,34.69195752961196,0,35,0.010594865368408892,43,56,0,22,12,3.027395493825261
31,343,1.0800842960097459,1.8292367028602625,1.1128409952067284,0.3159394267697581,1.5741104119150409,-0.25512629094522166,6,0,1,14,36.66089464865942,0,29,0.01464061636137021,60,63,0,26,10,1.8881874887195536
